,Model,Injury.Severity,Number.of.Engines
78235,CIRRUS SR20,Non-Fatal,1.0
78245,TAILWIND W 8,Non-Fatal,1.0
78265,CABRI,Non-Fatal,1.0
78266,AL11C 100,Non-Fatal,1.0
78273,P92 ECHO SUPER,Fatal,1.0
78283,P 51,Non-Fatal,1.0
78285,F51,Fatal,1.0
78292,KIT FOX MODEL,Non-Fatal,1.0
78307,TH-180,Non-Fatal,1.0
78308,382G,Non-Fatal,4.0
78310,TAMPICO TB 9,Non-Fatal,1.0
78314,BT 15,Non-Fatal,1.0
78315,M 4,Non-Fatal,1.0
78320,Revo,Fatal,1.0
78330,LIBERTY XL,Non-Fatal,1.0
78348,108 3,Non-Fatal,1.0
78352,95 C55,Non-Fatal,2.0
78369,TRAVEL AIR 4000,Fatal,1.0
78377,ARIOSTO MUSTANG II,Non-Fatal,1.0
78381,BL,Non-Fatal,1.0
78385,767 34AF,Non-Fatal,2.0
78386,PA 22-108,Non-Fatal,1.0
78392,G 3/600,Non-Fatal,1.0
78396,D17,Non-Fatal,1.0
78406,182A,Fatal,1.0
78414,A6M2 MODEL 21,Non-Fatal,1.0
78415,737 724,Non-Fatal,2.0
78416,SKYRAIDER I,Non-Fatal,1.0
78421,VANS,Non-Fatal,1.0
78426,CA9,Fatal,1.0
78434,XT 912,Fatal,1.0
78435,LS8,Non-Fatal,0.0
78437,RV 9,Non-Fatal,1.0
78438,206B III,Fatal,1.0
78445,AT 6A,Fatal,1.0
78448,HARMON ROCKET II,Fatal,1.0
78456,BD 700 1A10,Non-Fatal,2.0
78463,AA 1B,Non-Fatal,1.0
78465,KR-030 TOPAZ,Non-Fatal,1.0
78481,MU 2B,Fatal,2.0
78489,LANCAIR IV P PROPJET,Non-Fatal,1.0
78492,AT6,Non-Fatal,1.0
78519,TL-3000 SIRIUS,Non-Fatal,1.0
78534,EAGLET,Non-Fatal,2.0
78538,737 76Q,Non-Fatal,2.0
78547,P2008,Non-Fatal,1.0
78552,AT 502,Fatal,1.0
78559,RV12,Fatal,1.0
78564,65 A90 1,Fatal,2.0
78576,RM-1,Non-Fatal,1.0
78580,AK RIDGE RUNNER,Non-Fatal,1.0
78582,GN 1 AIRCAMPER,Non-Fatal,1.0
78584,ACRODUSTER,Fatal,1.0
78586,ZENAIR 601XL,Non-Fatal,1.0
78589,PA18S,Non-Fatal,1.0
78592,DG 800B,Non-Fatal,1.0
78599,SA 226T,Non-Fatal,2.0
78600,MBB BK 117 C-2,Non-Fatal,2.0
78610,CL 600 2B19,Non-Fatal,2.0
78612,47G 5,Non-Fatal,1.0
78637,REDBACK,Non-Fatal,1.0
78642,EDGE X CLASSIC,Fatal,1.0
78646,AN2,Non-Fatal,1.0
78658,UH 1B,Non-Fatal,1.0
78669,VANS AIRCRAFT,Non-Fatal,1.0
78676,PA 28R,Non-Fatal,1.0
78679,Quickie,Non-Fatal,2.0
78682,47G 3B 1,Fatal,1.0
78687,YKS 7,Non-Fatal,1.0
78691,PITTS S-2SW,Fatal,1.0
78694,A320 214,Non-Fatal,2.0
78698,AIR COMMANDER LRT,Non-Fatal,1.0
78705,PA 32R,Non-Fatal,1.0
78706,ASW 19,Non-Fatal,0.0
78712,ZODIAC,Non-Fatal,1.0
78716,AT 6,Fatal,1.0
78721,D35,Fatal,1.0
78734,REPLICA PA18,Non-Fatal,1.0
78735,OH 58,Non-Fatal,1.0
78747,S 5,Non-Fatal,1.0
78750,KP 5 ASA,Fatal,1.0
78753,LS3,Non-Fatal,0.0
78758,HOWELL SPECIAL,Non-Fatal,1.0
78759,P 47D,Fatal,1.0
78766,VARIEZE,Fatal,1.0
78772,Pitts S1C,Non-Fatal,1.0
78773,BUSHCAT,Non-Fatal,1.0
78777,RANS S6-ESD (MODIFIE,Fatal,1.0
78778,STORCH FI-156,Fatal,1.0
78781,PA18WB/L21-180,Non-Fatal,1.0
78795,FW2R,Non-Fatal,1.0
78796,S 300,Non-Fatal,1.0
78806,777 24Q,Non-Fatal,2.0
78809,AA 1A,Non-Fatal,1.0
78812,737-932ER,Non-Fatal,2.0
78829,17 30,Non-Fatal,1.0
78832,GLASAIR SH 2F,Non-Fatal,1.0
78841,PA 32,Non-Fatal,1.0
78846,M 18A,Fatal,1.0
78857,RALLYE 150,Non-Fatal,1.0
78858,MX 7,Non-Fatal,1.0
78865,PA28RT,Non-Fatal,1.0
78867,LAKE LA 4,Non-Fatal,1.0
78869,SZD 48-1JANTAR STD 2,Non-Fatal,0.0
78870,A321 231,Non-Fatal,2.0
78873,EC120,Non-Fatal,1.0
78877,100 180,Non-Fatal,1.0
78879,CTSW HXB,Non-Fatal,1.0
78889,GULFSTREAM150,Non-Fatal,2.0
78914,PA 23-150,Fatal,2.0
78918,DHC3,Non-Fatal,1.0
78931,BR-1,Non-Fatal,1.0
78955,L 5G,Non-Fatal,1.0
78973,J3F 65,Non-Fatal,1.0
78989,II CW,Non-Fatal,1.0
78995,S6,Non-Fatal,1.0
79000,152G,Non-Fatal,1.0
79003,OH 58A,Non-Fatal,1.0
79017,11AC,Fatal,1.0
79020,QUICKSILVER SPRINT2S,Non-Fatal,1.0
79022,SEAWIND,Fatal,1.0
79025,Bushcat,Non-Fatal,1.0
79032,CAP,Non-Fatal,1.0
79037,GLASAIR (SH2F),Non-Fatal,1.0
79043,PA 44,Non-Fatal,2.0
79062,429,Fatal,2.0
79066,HARVARD,Non-Fatal,1.0
79075,PA 23-150,Non-Fatal,2.0
79076,PITTS S1 S,Non-Fatal,1.0
79078,Titanium Explorer,Fatal,1.0
79081,CH-801,Non-Fatal,1.0
79082,PA24,Fatal,1.0
79083,RV 7,Non-Fatal,1.0
79091,ZODIAC CH601XL,Non-Fatal,1.0
79093,T28,Fatal,1.0
79095,DA40 F,Fatal,1.0
79097,NELSON WOODY,Non-Fatal,1.0
79105,F4U 5,Non-Fatal,1.0
79108,XCALIBUR,Non-Fatal,1.0
79113,HK 36,Non-Fatal,1.0
79115,Skybolt 300,Fatal,1.0
79119,RV9,Fatal,1.0
79120,RC 3,Fatal,1.0
79126,TITAN T 51 MUSTANG,Non-Fatal,1.0
79127,FREEDOM MASTER FM-2,Non-Fatal,1.0
79128,VELOCITY TXL,Non-Fatal,1.0
79133,65 A90,Non-Fatal,2.0
79134,E-LSA,Non-Fatal,1.0
79138,SILENT 2 TARGA,Non-Fatal,1.0
79140,YAK11,Fatal,1.0
79141,OH 13H/M74A,Non-Fatal,1.0
79153,RV,Non-Fatal,1.0
79156,SR,Non-Fatal,1.0
79159,BUSHCADDY EXPLORER,Non-Fatal,1.0
79168,RANS S 7,Non-Fatal,1.0
79169,47G 2,Non-Fatal,1.0
79171,FESTIVAL R40S,Non-Fatal,1.0
79187,LIGHTNING LS-1,Fatal,1.0
79198,PA 34-200T,Fatal,2.0
79201,ANTARES,Non-Fatal,1.0
79203,269C 1,Fatal,1.0
79209,PA14EXP,Non-Fatal,1.0
79210,ARION LIGHTNING,Non-Fatal,1.0
79211,HPL 1 HIGH WING PARA,Non-Fatal,1.0
79223,BUGATTI-DEMONGE 100P,Fatal,2.0
79233,CARAT A,Fatal,1.0
79240,CC11,Non-Fatal,1.0
79243,NORTHERN EXPLORER,Non-Fatal,1.0
79255,MXT7,Non-Fatal,1.0
79259,CH601,Non-Fatal,1.0
79262,RANS COYOTE,Non-Fatal,1.0
79268,BT13,Non-Fatal,1.0
79271,CARBON CUB CCK-1865,Non-Fatal,1.0
79272,PA 34,Non-Fatal,2.0
79273,PA 31,Fatal,2.0
79275,PW 6U,Non-Fatal,0.0
79286,VALLORIC SPORT TRNR,Non-Fatal,1.0
79287,737 924,Non-Fatal,2.0
79289,TA-4K,Non-Fatal,1.0
79298,KITFOX 4 1200,Non-Fatal,1.0
79302,PZL 104 WILGA,Non-Fatal,1.0
79311,SDL,Non-Fatal,1.0
79312,VANS RV 9A,Fatal,1.0
79313,S10 VT,Fatal,1.0
79327,YAK 11,Fatal,1.0
79329,PA 18-180,Non-Fatal,1.0
79341,COYOTE S 4,Non-Fatal,1.0
79369,AT502,Fatal,1.0
79374,Bensen,Fatal,1.0
79378,HAWK AERO II,Non-Fatal,1.0
79390,AT,Non-Fatal,1.0
79397,S61,Fatal,2.0
79408,L 5,Non-Fatal,1.0
79418,MURPHY ELITE,Non-Fatal,1.0
79427,Polar Cub,Fatal,1.0
79442,PA 11,Fatal,1.0
79456,BDK Carbon Concepts,Non-Fatal,1.0
79463,DH115 VAMPIRE,Non-Fatal,1.0
79466,OGG GLASAIR I,Non-Fatal,1.0
79467,TERCEL-GYROPLANE,Non-Fatal,1.0
79469,G44,Non-Fatal,2.0
79477,Special,Non-Fatal,1.0
79499,VANS RV 9A,Non-Fatal,1.0
79504,L 39,Non-Fatal,1.0
79505,T28,Non-Fatal,1.0
79509,DHC 8 202,Non-Fatal,2.0
79511,LEGEND XL,Non-Fatal,1.0
79516,BRISTELL S,Non-Fatal,1.0
79542,PQ 14A,Fatal,1.0
79564,D95A,Fatal,2.0
79568,RV 10,Non-Fatal,1.0
79571,GLASAIR SH 2,Non-Fatal,1.0
79572,737-8H4,Non-Fatal,2.0
79575,FH 1100,Fatal,1.0
79578,FLYING FLEA,Non-Fatal,1.0
79589,Kelly D,Non-Fatal,1.0
79595,KOLB SPORT 600,Non-Fatal,1.0
79600,PA 34-200,Fatal,2.0
79602,RV6 A,Non-Fatal,1.0
79608,SD3 60 SHERPA,Non-Fatal,2.0
79634,LAKE LA 250,Fatal,1.0
79646,AEROSTAR601,Non-Fatal,2.0
79654,CJ6,Fatal,1.0
79661,Arion Lighting,Non-Fatal,1.0
79662,YAK,Non-Fatal,1.0
79666,PA 20S,Non-Fatal,1.0
79681,A330 223,Non-Fatal,2.0
79682,737 7L9,Non-Fatal,2.0
79688,FIRE FLY,Non-Fatal,1.0
79690,MD 10-10F,Non-Fatal,3.0
79696,PITTS SPECIAL S 1,Non-Fatal,1.0
79697,PILATUS PC-6,Fatal,1.0
79698,TB 25N,Non-Fatal,2.0
79709,OH 58C,Non-Fatal,1.0
79727,L 3B,Non-Fatal,1.0
79736,NAVION,Fatal,1.0
79743,BUDDY BABY LAKES,Non-Fatal,1.0
79755,95B55,Non-Fatal,2.0
79756,BD 100-1A10,Non-Fatal,2.0
79758,A315,Non-Fatal,3.0
79763,RUTAN DEFIANT,Non-Fatal,2.0
79766,JN4,Fatal,1.0
79767,SGS126,Non-Fatal,0.0
79773,PA 31T,Fatal,2.0
79774,NAVAJO,Non-Fatal,1.0
79775,A109A II,Fatal,2.0
79781,717 200,Non-Fatal,2.0
79783,BROUSSARD MH 1521,Non-Fatal,1.0
79787,LC41 550FG,Non-Fatal,1.0
79790,VANS RV8,Non-Fatal,1.0
79801,SQ-12,Non-Fatal,1.0
79808,767-319ER,Non-Fatal,2.0
79811,PEGAZAIR P 100,Fatal,1.0
79813,DA-20,Non-Fatal,1.0
79818,VENTUS2C,Fatal,1.0
79820,ERJ170 200LR,Non-Fatal,2.0
79828,Citation 500,Non-Fatal,2.0
79829,PA 31T,Non-Fatal,2.0
79841,EMB-721D,Fatal,1.0
79844,CH601XL SLSA,Fatal,1.0
79854,KODIAK 100,Fatal,1.0
79894,EPIC LT,Fatal,1.0
79904,DA 40 NG,Non-Fatal,1.0
79911,PA 28R-200,Fatal,1.0
79916,GT-400 R503,Non-Fatal,1.0
79917,T210K,Fatal,1.0
79918,V-24L,Non-Fatal,2.0
79920,COZY MK IV R,Non-Fatal,1.0
79938,BOEING 737-8K5,Non-Fatal,2.0
79944,Steen Skybolt,Fatal,1.0
79948,PA 28-236,Fatal,1.0
79949,BUCCANEER II B,Fatal,1.0
79956,PIPER PA-30,Fatal,2.0
80000,SIDE WINDER TD,Non-Fatal,1.0
80009,Smith Aviation Repli,Non-Fatal,1.0
80026,SUPER SIX,Non-Fatal,1.0
80032,600,Fatal,1.0
80034,OH 6A,Non-Fatal,1.0
80044,T 34B,Non-Fatal,1.0
80052,DHC 8 311,Non-Fatal,1.0
80070,S 1C,Non-Fatal,1.0
80081,HOMEBUILT,Fatal,1.0
80095,2T 1A,Non-Fatal,1.0
80102,162 LSA,Fatal,1.0
80107,FIREFLY 7,Non-Fatal,1.0
80123,T310Q,Fatal,2.0
80126,767 33A,Non-Fatal,2.0
80129,XA42,Non-Fatal,1.0
80141,B 60,Fatal,2.0
80143,SIDE WINDER,Non-Fatal,1.0
80147,Columbia 400,Non-Fatal,1.0
80151,A319 114,Non-Fatal,2.0
80158,G120TP-A,Non-Fatal,1.0
80159,G 109B,Non-Fatal,1.0
80162,WAG AERO/SPT TRAINER,Non-Fatal,1.0
80164,CAVALON,Non-Fatal,1.0
80167,II,Fatal,1.0
80170,XENOS MOTORGLIDER,Non-Fatal,1.0
80173,KENS WINGLESS WONDER,Non-Fatal,1.0
80178,SA227 TT,Non-Fatal,2.0
80179,K 1200,Non-Fatal,1.0
80195,AT 602,Fatal,1.0
80197,DC 9 83,Non-Fatal,2.0
80200,8F,Fatal,1.0
80206,STOL KING,Non-Fatal,1.0
80217,ZODIAC CH601XLB,Non-Fatal,1.0
80232,WITTMAN W-10,Non-Fatal,1.0
80234,AA,Non-Fatal,1.0
80241,601XL-B,Non-Fatal,1.0
80242,PA-42,Fatal,2.0
80244,A5,Non-Fatal,1.0
80245,BAKING DUCE,Non-Fatal,1.0
80252,Virus SW,Fatal,1.0
80253,Aventura UL,Non-Fatal,1.0
80264,F-1 ROCKET,Non-Fatal,1.0
80283,GIV X (G450),Non-Fatal,2.0
80284,ZENAIR STOL CH 701,Non-Fatal,1.0
80288,GC 1B,Fatal,1.0
80289,DGA 15P,Fatal,1.0
80295,TORNADO I,Non-Fatal,1.0
80300,BAKENG DUCE 1976 CZ,Non-Fatal,1.0
80301,170,Fatal,1.0
80304,JETSTREAM3100,Non-Fatal,2.0
80307,Xenon 4,Non-Fatal,1.0
80309,TB 20 TRINIDAD,Fatal,1.0
80313,PA31T,Fatal,2.0
80316,B 2B,Non-Fatal,1.0
80327,47G SUPER C 4,Fatal,1.0
80333,NIEUPORT 28,Fatal,1.0
80338,17 31ATC,Fatal,1.0
80345,CJ6A,Fatal,1.0
80349,SGS134,Non-Fatal,0.0
80355,PC 12,Fatal,1.0
80358,TB 20,Fatal,1.0
80362,SPORT X2-N,Non-Fatal,1.0
80363,KIT ROTOWAY,Non-Fatal,1.0
80380,VANS ACFT RV8A,Non-Fatal,1.0
80386,Hurricane,Fatal,1.0
80387,SD3 30,Fatal,2.0
80391,SPORT2S R582,Non-Fatal,1.0
80392,BOUNDS BEARCOUPE,Non-Fatal,1.0
80394,EUROPA CLASSIC,Non-Fatal,1.0
80400,SUPER CUB SPORT,Non-Fatal,1.0
80403,JSX-2,Non-Fatal,1.0
80406,A5,Fatal,1.0
80431,CESSNA FR172,Non-Fatal,1.0
80434,VIRUS SW,Non-Fatal,1.0
80435,AC 4,Fatal,0.0
80438,PZL 104 WILGA 80,Non-Fatal,1.0
80451,MU2B,Fatal,2.0
80472,EA 300/S,Non-Fatal,1.0
80479,BACKCOUNTRY SUPER CR,Non-Fatal,1.0
80489,DHC 6,Non-Fatal,2.0
80494,EC 135,Fatal,2.0
80500,ASW 28 18E,Fatal,1.0
80501,PITTS S 2A,Fatal,1.0
80511,S 1B2,Fatal,1.0
80513,AUTOGYRO GMBH CAVALO,Non-Fatal,1.0
80521,JUST AIRCRAFT SUPERS,Non-Fatal,1.0
80524,ZENITH ZODIAC 601XL,Non-Fatal,1.0
80528,CC19,Non-Fatal,1.0
80529,VELOCITY SUV,Non-Fatal,1.0
80530,F150 M,Non-Fatal,1.0
80542,SKY ARROW LSA,Non-Fatal,1.0
80570,LEGACY 2000,Non-Fatal,1.0
80578,747 451,Non-Fatal,4.0
80579,SD-1A,Non-Fatal,1.0
80585,AX7 77B,Non-Fatal,0.0
80588,Angel Hawk II,Non-Fatal,1.0
80590,PA 44-180,Non-Fatal,2.0
80615,E 90,Fatal,2.0
80618,LAK 12,Non-Fatal,0.0
80624,AS-105-GD,Non-Fatal,1.0
80631,RV-3,Fatal,1.0
80633,65 CA,Fatal,1.0
80635,RAI 6,Non-Fatal,1.0
80641,KOLB FIREFLY,Fatal,1.0
80659,1730,Non-Fatal,1.0
80664,CALLAIR A 9,Non-Fatal,1.0
80666,DREAM MACHINE 582,Fatal,1.0
80673,CE 1,Non-Fatal,1.0
80692,RADIO FLYER,Non-Fatal,1.0
80714,Genesis,Fatal,1.0
80716,ZODIAC CH650B,Non-Fatal,1.0
80717,MBB-BK 117 B-2,Non-Fatal,2.0
80718,T-28A,Fatal,1.0
80724,AG5,Non-Fatal,1.0
80726,PA 15,Non-Fatal,1.0
80747,Supermaine Ltd,Non-Fatal,1.0
80749,G1159A,Fatal,2.0
80752,ASH 31 MI,Non-Fatal,1.0
80774,S D S C,Non-Fatal,1.0
80781,L 21B,Non-Fatal,1.0
80784,QUICKSILVER SPORT II,Fatal,1.0
80806,RANS S-16,Non-Fatal,1.0
80808,A,Fatal,1.0
80816,PA 44-180,Fatal,2.0
80819,PAZMANY PL 2,Fatal,1.0
80823,15AC,Fatal,1.0
80826,P92 Eaglet,Non-Fatal,1.0
80834,P 51,Fatal,1.0
80841,A 20 VISTA CRUISER,Non-Fatal,1.0
80842,Lancair Evolution,Fatal,1.0
80855,CH601XLi SLSA,Fatal,1.0
80858,Piper J3C-65,Fatal,1.0
80860,GRISSOM POBER PIXIE,Non-Fatal,1.0
80875,L23,Non-Fatal,0.0
80882,PANZL S331E,Fatal,1.0
80884,ZENITH 601,Non-Fatal,1.0
80885,SR9,Non-Fatal,1.0
80904,BAC STKMSTR MK80,Non-Fatal,1.0
80911,LA 4,Non-Fatal,1.0
80912,HAWKER FB60,Non-Fatal,1.0
80926,CH701SP,Fatal,1.0
80930,VAN'S AIRCRAFT RV4,Non-Fatal,1.0
80931,LAKE LA 4 250,Fatal,1.0
80932,VANS RV 3A,Non-Fatal,1.0
80933,CABRI G2,Non-Fatal,1.0
80936,SA26,Non-Fatal,2.0
80941,SZD 55-1,Non-Fatal,0.0
80950,ACRO SPORT  II,Non-Fatal,1.0
80972,LAK 17,Non-Fatal,1.0
80974,AT 402,Non-Fatal,1.0
80980,MTO SPORT,Non-Fatal,1.0
80981,Lancair IV-TP,Fatal,1.0
80986,MARINE DEVIL DOG,Non-Fatal,1.0
80990,S9,Non-Fatal,1.0
81001,330,Non-Fatal,2.0
81002,P2V 5F,Non-Fatal,4.0
81005,RA2,Non-Fatal,1.0
81012,QUANTUM,Fatal,1.0
81031,WALKER CURTISS JN4D,Non-Fatal,1.0
81037,L19,Non-Fatal,1.0
81054,L 13 SEH VIVAT,Non-Fatal,1.0
81059,P2004 BRAVO,Fatal,1.0
81069,Super Cub,Non-Fatal,1.0
81088,S 2R,Fatal,1.0
81090,HUNTER MK.58,Non-Fatal,1.0
81095,RANS S 17,Non-Fatal,1.0
81107,PA-18AS,Fatal,1.0
81118,CH 601 HD,Non-Fatal,1.0
81120,Trike,Fatal,1.0
81126,A320 233,Non-Fatal,2.0
81127,14 19,Non-Fatal,1.0
81139,AA1,Fatal,1.0
81145,RV-12,Fatal,1.0
81152,GLASTAR,Fatal,1.0
81170,KITFOX S7 SUPERSPORT,Non-Fatal,1.0
81175,Co50 VALKYRIE,Non-Fatal,1.0
81179,KITFOX IV 1200 SPDST,Non-Fatal,1.0
81189,BC12,Non-Fatal,1.0
81191,MBB BK 117,Fatal,2.0
81201,S-6,Fatal,1.0
81204,PIPER PA-28RT-201,Fatal,1.0
81207,UH 12A,Non-Fatal,1.0
81214,767-375,Non-Fatal,2.0
81216,M 20K,Fatal,1.0
81219,EMB 120ER,Non-Fatal,2.0
81226,95 B55,Non-Fatal,2.0
81228,STARDUSTER SA 100,Non-Fatal,1.0
81229,SEAMAX-M22,Non-Fatal,1.0
81246,VANS ACFT RV8,Non-Fatal,1.0
81251,GP 4,Non-Fatal,1.0
81265,Phantom,Non-Fatal,4.0
81278,YAK 52W,Non-Fatal,1.0
81279,MU 2B-40,Fatal,2.0
81282,AVID SW 65,Non-Fatal,1.0
81284,VARI EZ,Non-Fatal,1.0
81289,MOSQUITO XE 285,Non-Fatal,1.0
81290,Quicksilver,Fatal,1.0
81294,VANS RV 8,Non-Fatal,1.0
81301,AL18,Non-Fatal,1.0
81304,CC19-180,Non-Fatal,1.0
81310,ANDYS GYROPLANE,Fatal,1.0
81312,PT 13,Non-Fatal,1.0
81323,B 2B,Fatal,1.0
81333,SE5A,Non-Fatal,1.0
81339,BC ULTRA PUP,Fatal,1.0
81349,PA 25-235,Fatal,1.0
81351,M 7,Non-Fatal,1.0
81359,CJ 6,Non-Fatal,1.0
81362,E33A,Fatal,1.0
81363,TEAM AIRBIKE,Non-Fatal,1.0
81368,DHC 1,Non-Fatal,1.0
81376,MBB BK 117,Non-Fatal,2.0
81382,767 328,Non-Fatal,2.0
81383,TURBINE CUBS P A 18,Non-Fatal,1.0
81387,MARK IV,Fatal,1.0
81397,Legacy,Fatal,1.0
81400,S 600F,Non-Fatal,1.0
81411,2T 1A 2,Non-Fatal,1.0
81425,ELA AVIACION 10 ECLI,Non-Fatal,1.0
81433,TITAN T-51,Non-Fatal,1.0
81449,V STAR SA900,Non-Fatal,1.0
81452,TBM 850,Non-Fatal,1.0
81459,A330-243,Non-Fatal,2.0
81478,SR 5E,Non-Fatal,1.0
81498,AUTOGYRO CAVALON,Non-Fatal,1.0
81509,MXL SPORT,Non-Fatal,1.0
81514,415 CD,Non-Fatal,1.0
81522,172G,Fatal,1.0
81532,KITFOX MODEL 4 1200,Non-Fatal,1.0
81535,VL-3C-1,Non-Fatal,1.0
81550,ZENITH CH750 CRUZER,Non-Fatal,1.0
81556,757 224,Non-Fatal,2.0
81558,PA 18-125,Non-Fatal,1.0
81567,Sparrow Hawk,Fatal,1.0
81570,PULSAR   912XP,Non-Fatal,1.0
81576,TITAN TORNADO II D,Fatal,1.0
81581,PA 31-310,Non-Fatal,2.0
81582,CL 600 2A12,Non-Fatal,2.0
81586,T 6,Non-Fatal,1.0
81597,Sport Copter Vortex,Non-Fatal,1.0
81601,ZENITH CH750,Non-Fatal,1.0
81607,AEROSTAR 601,Fatal,2.0
81610,CORBEIL SHAWN SER VI,Non-Fatal,1.0
81620,510,Fatal,2.0
81628,APOLLO,Non-Fatal,1.0
81639,P.180,Non-Fatal,2.0
81649,ZODIAC 601XL,Fatal,1.0
81656,XA85,Fatal,1.0
81668,EUROFOX,Non-Fatal,1.0
81680,P2006,Non-Fatal,2.0
81685,STEVE BARNES RV 4,Non-Fatal,1.0
81696,MS893E,Non-Fatal,1.0
81712,MAGNI M-16,Non-Fatal,1.0
81716,369HM,Fatal,1.0
81736,XEL,Non-Fatal,1.0
81742,W-10 TAILWIND,Fatal,1.0
81745,L-11E,Non-Fatal,1.0
81751,FOXDOMINATOR,Non-Fatal,1.0
81752,M 6,Non-Fatal,1.0
81755,SA330J PUMA,Non-Fatal,2.0
81761,680 F,Non-Fatal,2.0
81762,172F,Fatal,1.0
81765,260L HUMMINGBIRD,Non-Fatal,1.0
81772,SPORT COPTER II,Non-Fatal,1.0
81776,35 A33,Fatal,1.0
81778,F150L,Fatal,1.0
81788,SONEX TRAINER,Fatal,1.0
81796,UH-60M (S-70),Fatal,2.0
81804,PA 24-260,Non-Fatal,1.0
81809,MK 3.2,Non-Fatal,1.0
81813,EC130,Fatal,1.0
81816,CIRRUS VK 30,Fatal,1.0
81827,777 222,Non-Fatal,2.0
81853,GALEB G 2,Non-Fatal,1.0
81868,EDGE XT 912 L,Fatal,1.0
81869,ASTORE,Non-Fatal,1.0
81872,AT-802,Fatal,1.0
81873,SF50,Non-Fatal,1.0
81876,KODIAC 100,Fatal,1.0
81885,B,Non-Fatal,2.0
81896,AUTOGYRO CALIDUS,Fatal,1.0
81901,ESCAPADE,Non-Fatal,1.0
81915,1413,Non-Fatal,1.0
81925,CR-1,Non-Fatal,1.0
81938,THORPE T 18,Non-Fatal,1.0
81955,PA18 150,Non-Fatal,1.0
81956,EC120,Fatal,1.0
81957,G V,Non-Fatal,2.0
81959,S-16 SHEKARI,Fatal,1.0
81965,CAPELLA XS FW2C80TD,Non-Fatal,1.0
81968,M62C F 23A,Non-Fatal,1.0
81983,N 300,Non-Fatal,0.0
81985,Kitfox S7 Super Spor,Non-Fatal,1.0
81997,LNC2,Fatal,1.0
82015,EXEC,Fatal,1.0
82048,MAGNI M24,Non-Fatal,1.0
82050,W10,Fatal,1.0
82061,737 7H4,Fatal,2.0
82062,DAYTONA CUBS REPLICA,Non-Fatal,1.0
82067,PUSLAR,Non-Fatal,1.0
82070,737 500,Non-Fatal,2.0
82074,CESSNA 152,Fatal,1.0
82091,RUTAN LONG E Z,Non-Fatal,1.0
82100,MOSQUITO XE,Non-Fatal,1.0
82102,SNJ 5,Fatal,1.0
82110,Kitfox V,Fatal,1.0
82112,CCX-2000,Non-Fatal,1.0
82117,65 LB,Non-Fatal,1.0
82125,G 164C,Non-Fatal,1.0
82130,VARI EZE,Fatal,1.0
82156,PULSAR SERIES III,Non-Fatal,1.0
82157,767 323,Non-Fatal,2.0
82165,SW4,Non-Fatal,1.0
82166,ELA ECLIPSE 10,Non-Fatal,1.0
82171,SGS 1 26,Non-Fatal,0.0
82173,CREECH JERRY CH 701,Non-Fatal,1.0
82183,APOLLO AG-1,Non-Fatal,1.0
82188,ELA 07 SCORPION,Non-Fatal,1.0
82194,NIEUPORT 17,Non-Fatal,1.0
82211,76,Fatal,2.0
82223,35A33,Fatal,1.0
82226,SGS123,Non-Fatal,0.0
82257,Avid,Non-Fatal,1.0
82260,PA 14,Non-Fatal,1.0
82264,BC12,Fatal,1.0
82268,Autogyro MTO Sport,Non-Fatal,1.0
82272,Zenith,Fatal,1.0
82276,S2R G10,Non-Fatal,1.0
82280,BELITE PIPPER,Non-Fatal,1.0
82285,D17S,Fatal,1.0
82304,SKYSTAR KITFOX SER 7,Non-Fatal,1.0
82308,58B,Non-Fatal,1.0
82316,CCX,Non-Fatal,1.0
82322,"PREDATOR ""C""",Non-Fatal,1.0
82330,SNJ 2,Fatal,1.0
82334,PA28,Non-Fatal,2.0
82336,BF9 2,Non-Fatal,1.0
82344,Pulse,Fatal,0.0
82354,GA10,Non-Fatal,1.0
82368,COOT,Non-Fatal,1.0
82377,L 29 DELFIN,Non-Fatal,1.0
82397,737 800,Non-Fatal,2.0
82399,TERCEL,Non-Fatal,1.0
82403,787-9,Non-Fatal,2.0
82421,ALPHA JET,Non-Fatal,2.0
82437,JOHNSON AIR CAM,Non-Fatal,2.0
82442,A109,Fatal,2.0
82456,ERJ175,Non-Fatal,2.0
82457,J250,Non-Fatal,1.0
82480,ARCUS M,Non-Fatal,1.0
82487,STOL CH701,Non-Fatal,1.0
82492,PW 5,Non-Fatal,0.0
82499,415 D,Fatal,1.0
82500,JS1-C,Non-Fatal,1.0
82508,MH-1,Non-Fatal,1.0
82523,SGS 1 34,Non-Fatal,0.0
82568,737 300,Non-Fatal,2.0
82573,Smith Trike,Non-Fatal,1.0
82577,SX300,Fatal,1.0
82583,47G,Fatal,1.0
82590,R44 Raven I,Fatal,1.0
82592,EC135 P1,Non-Fatal,2.0
82604,17,Fatal,1.0
82605,T34,Non-Fatal,1.0
82610,DHC 3,Non-Fatal,1.0
82628,DEFIANT,Fatal,2.0
82630,PARRAKEET A-1,Fatal,1.0
82643,IIIM,Non-Fatal,1.0
82681,Fox,Non-Fatal,1.0
82696,DH112 VENOM,Fatal,1.0
82712,Venture 2000,Fatal,1.0
82724,EDGE XT-912-L,Non-Fatal,1.0
82735,AT301,Fatal,1.0
82745,DAKATO HAWK,Non-Fatal,1.0
82754,SC II,Non-Fatal,1.0
82771,EA300,Non-Fatal,1.0
82774,90,Fatal,2.0
